5C:1D:D9:D3:04:30,-71.21126761,-46.65560166,-73.91264368,1
9C:B2:B2:6D:06:91,-73,-50.4,-77.66666667,1
74:60:FA:9C:D6:1D,-64.61349693,-52.74452555,-74.36363636,1
6C:4D:73:3B:FC:2D,-69.09734513,-48.98245614,-77.89528796,1
9C:B2:B2:6D:06:91,-68,-52.4,-80,1
5C:1D:D9:D3:04:30,-69.8343949,-49.36218679,-79.83935743,1
74:60:FA:9C:D6:1D,-68.20143885,-50.77272727,-74.24,1
6C:4D:73:3B:FC:2D,-72.1,-58.66666667,-78.5,1
6C:4D:73:3B:FC:2D,-73.31578947,-60.78547855,-78.79365079,1
9C:B2:B2:6D:06:91,-64,-62.44444444,-80,1
74:60:FA:9C:D6:1D,-69.88235294,-51.95,0,1
5C:1D:D9:D3:04:30,-74.82051282,-48.70995671,-79.25384615,1
6C:4D:73:3B:FC:2D,-75.40909091,-59.26451613,-79.91208791,1
9C:B2:B2:6D:06:91,-66,0,-84,1
74:60:FA:9C:D6:1D,-79.14285714,-58,-80,1
5C:1D:D9:D3:04:30,-75.33333333,-48.01459854,-73.14498141,1
6C:4D:73:3B:FC:2D,-73.83050847,-58.64573991,-80.72897196,1
9C:B2:B2:6D:06:91,-73,-50.5,-80,1
74:60:FA:9C:D6:1D,-71.52,-53.16097561,-83.24324324,1
5C:1D:D9:D3:04:30,-74.0969697,-52.8372093,-77.47528517,1
6C:4D:73:3B:FC:2D,-74.16666667,-59.97590361,-79.04761905,1
74:60:FA:9C:D6:1D,-72.30769231,-49.64393939,-83.08016878,1
5C:1D:D9:D3:04:30,-72.33160622,-56.42512077,-71.9682035,1
6C:4D:73:3B:FC:2D,-72.05,-53.82278481,-78.48275862,1
9C:B2:B2:6D:06:91,-72,-54.96,-78,1
74:60:FA:9C:D6:1D,-72.2811245,-47.61928934,-83.44776119,1
5C:1D:D9:D3:04:30,-71.77777778,-52.07042254,-76.73684211,1
6C:4D:73:3B:FC:2D,-74.34285714,-53.7826087,-81.57333333,1
9C:B2:B2:6D:06:91,-71.22222222,-55.23809524,-79.23809524,1
74:60:FA:9C:D6:1D,-72.94117647,-48.0990099,-88,1
5C:1D:D9:D3:04:30,-69.55294118,-56.61212121,-74,1
6C:4D:73:3B:FC:2D,-76.08695652,-62.35294118,-79.41666667,1
9C:B2:B2:6D:06:91,-64.57142857,-49.16666667,-75.5,1
74:60:FA:9C:D6:1D,-70.1025641,-49.90625,-88,1
5C:1D:D9:D3:04:30,-72.60606061,-55.33632287,-72.54481547,1
6C:4D:73:3B:FC:2D,-74,-62.92307692,-80.4,1
9C:B2:B2:6D:06:91,-68.66666667,-49.27272727,-76,1
74:60:FA:9C:D6:1D,-72.39153439,-48.27586207,-88,1
5C:1D:D9:D3:04:30,-74.86580087,-56.86652079,-73.08849558,1
6C:4D:73:3B:FC:2D,-69.39393939,-53.28,-80.26086957,1
9C:B2:B2:6D:06:91,-74.57142857,-58,0,1
5C:1D:D9:D3:04:30,-72.97237569,-58.29577465,-73.92090395,1
74:60:FA:9C:D6:1D,-74.66666667,-47.83333333,-79.2,1
6C:4D:73:3B:FC:2D,-76.33333333,-54.38461538,-77,1
9C:B2:B2:6D:06:91,-69.33333333,-52.4,-73.2,1
74:60:FA:9C:D6:1D,-70,-49.36842105,-80.66666667,1
5C:1D:D9:D3:04:30,-68.79674797,-55.76851852,-78.22340426,1
6C:4D:73:3B:FC:2D,-77.2,-54.41860465,-77.375,1
9C:B2:B2:6D:06:91,-69.33333333,-48.37037037,-77.05084746,1
74:60:FA:9C:D6:1D,-81.47474747,-52.67938931,-78.58631922,1
5C:1D:D9:D3:04:30,-70.05194805,-52.77333333,-77.94623656,1
6C:4D:73:3B:FC:2D,-67.2,-56.77419355,-87,1
5C:1D:D9:D3:04:30,-66.5,-52.03658537,-75.88837209,1
9C:B2:B2:6D:06:91,-69.77777778,-51.5,-78.25,1
74:60:FA:9C:D6:1D,-77.78888889,-54.3147541,-79.57176471,1
6C:4D:73:3B:FC:2D,-67.75,-58,-78.33333333,1
9C:B2:B2:6D:06:91,-71.25,-51.27272727,-80,1
74:60:FA:9C:D6:1D,-76,-53.55555556,-78,1
5C:1D:D9:D3:04:30,-68.359375,-60.83667622,-76.0622084,1
6C:4D:73:3B:FC:2D,-67.96721311,-57.8349835,-83.54320988,1
9C:B2:B2:6D:06:91,-75.2,-54.42857143,-80.4,1
74:60:FA:9C:D6:1D,-73.66666667,-53.22222222,-78.91666667,1
5C:1D:D9:D3:04:30,-67.2,-60.44776119,-76.07084469,1
6C:4D:73:3B:FC:2D,-67.85507246,-56.52027027,-83.16491228,1
9C:B2:B2:6D:06:91,-74.63829787,-64,-84.25,1
74:60:FA:9C:D6:1D,-76.22727273,-61.77777778,-80,1
5C:1D:D9:D3:04:30,-64.83333333,-55.26235741,-75.91489362,1
